Epoch	Test Accuracy	Min Index	Selected Indices
0	38.830	1.380	NA	NA
1	43.760	0.975	NA	NA
2	46.170	0.874	NA	NA
3	47.570	0.796	NA	NA
4	48.860	0.780	NA	NA
5	49.270	0.768	NA	NA
6	49.370	0.748	NA	NA
7	49.710	0.748	NA	NA
8	49.920	0.731	NA	NA
9	50.160	0.722	NA	NA
10	50.450	0.716	NA	NA
11	50.540	0.710	NA	NA
12	50.620	0.713	NA	NA
13	50.790	0.715	NA	NA
14	50.950	0.713	NA	NA
15	51.050	0.698	NA	NA
16	51.110	0.697	NA	NA
17	51.250	0.717	NA	NA
18	51.260	0.698	NA	NA
19	51.390	0.687	NA	NA
20	51.390	0.688	NA	NA
21	51.560	0.691	NA	NA
22	51.630	0.690	NA	NA
23	51.700	0.674	NA	NA
24	51.790	0.700	NA	NA
25	51.880	0.684	NA	NA
26	52.000	0.676	NA	NA
27	52.070	0.694	NA	NA
28	52.180	0.669	NA	NA
29	52.280	0.688	NA	NA
30	52.330	0.676	NA	NA
31	52.380	0.669	NA	NA
32	52.430	0.682	NA	NA
33	52.470	0.663	NA	NA
34	52.470	0.665	NA	NA
35	52.530	0.664	NA	NA
36	52.590	0.663	NA	NA
37	52.590	0.655	NA	NA
38	52.630	0.656	NA	NA
39	52.640	0.665	NA	NA
40	52.650	0.675	NA	NA
41	52.680	0.648	NA	NA
42	52.720	0.675	NA	NA
43	52.800	0.658	NA	NA
44	52.820	0.664	NA	NA
45	52.870	0.662	NA	NA
46	52.890	0.653	NA	NA
47	52.850	0.661	NA	NA
48	52.890	0.650	NA	NA
49	52.940	0.651	NA	NA
