Epoch	Test Accuracy	Min Index	Selected Indices
0	36.960	1.380	NA	NA
1	42.040	0.959	NA	NA
2	46.650	0.829	NA	NA
3	47.150	0.723	NA	NA
4	48.560	0.680	NA	NA
5	51.220	0.681	NA	NA
6	51.450	0.634	NA	NA
7	53.210	0.607	NA	NA
8	53.170	0.562	NA	NA
9	53.030	0.551	NA	NA
10	52.560	0.595	1	4,14,23,5,12,11,13,16,3,17,1
11	51.890	0.573	1	23,14,8,1,20,6,10,7,9,19,2
12	51.060	0.628	4	4,6,11,22,20,13,23,12,14,8,16
13	50.080	0.597	0	12,5,20,22,3,23,0,24,4,19,21
14	49.060	0.651	0	5,0,21,7,14,12,4,17,1,22,11
15	48.050	0.588	6	19,16,22,9,18,10,23,24,11,15,6
16	46.620	0.644	1	24,1,3,9,20,13,8,7,19,15,14
17	45.260	0.674	1	18,8,4,1,24,10,5,21,23,3,11
18	43.660	0.672	0	1,19,7,9,16,23,6,11,10,14,0
19	41.700	0.657	1	22,3,15,6,16,23,21,1,12,19,18
20	39.590	0.686	0	21,22,4,19,20,15,17,1,14,5,0
21	37.330	0.724	1	15,1,6,7,5,3,23,4,22,2,18
22	34.930	0.758	1	8,2,22,12,1,17,13,15,14,10,11
23	32.450	0.767	1	14,16,6,19,18,8,13,4,22,20,1
24	30.080	0.797	0	19,8,12,23,3,6,7,1,22,21,0
25	27.740	0.821	0	8,9,1,0,17,23,7,12,21,2,3
26	25.420	0.828	0	9,20,23,22,0,2,18,11,10,14,21
27	23.090	0.898	0	23,5,2,0,19,11,17,4,24,21,10
28	20.970	0.928	0	23,0,22,10,16,12,5,19,17,14,3
29	19.050	0.935	2	6,5,19,18,17,8,2,14,4,13,9
30	17.170	0.928	1	18,16,3,20,9,4,22,7,1,12,15
31	15.540	1.063	0	14,13,22,11,2,20,1,24,23,0,9
32	14.050	1.146	2	4,15,3,2,9,22,17,24,18,16,21
33	12.830	1.110	3	11,23,18,12,3,15,10,20,19,9,17
34	11.970	1.256	0	23,11,7,1,0,22,16,3,2,4,19
35	11.200	1.381	0	20,1,15,11,16,22,6,19,23,8,0
36	10.590	1.441	0	19,16,23,3,5,1,18,7,14,0,24
37	10.060	1.471	3	7,11,10,3,20,9,21,19,17,14,15
38	9.670	1.531	1	19,6,10,2,5,22,4,23,13,21,1
39	9.460	1.722	0	10,19,6,24,8,4,3,14,0,22,17
40	9.500	1.815	0	16,5,15,19,1,17,14,11,0,2,7
41	9.480	1.891	1	1,13,12,4,6,23,5,20,8,16,3
42	9.590	2.047	0	9,12,23,8,10,0,21,7,16,5,19
43	9.620	2.119	2	21,13,2,11,3,5,15,24,6,7,16
44	9.860	2.364	0	0,14,10,1,8,15,21,2,11,18,23
45	9.950	2.435	5	20,8,18,14,22,19,9,17,12,11,5
46	9.990	2.604	3	5,4,24,10,15,12,13,7,20,3,8
47	10.000	2.763	0	6,5,2,7,22,0,8,15,21,10,24
48	10.000	2.952	1	22,1,19,8,15,11,10,2,16,9,13
49	10.000	3.142	0	19,23,5,11,9,7,12,13,1,0,4
