Epoch	Test Accuracy	Min Index	Selected Indices
0	35.440	1.401	NA	NA
1	41.290	1.006	NA	NA
2	41.440	0.818	NA	NA
3	45.670	0.868	NA	NA
4	44.920	0.702	0	11,13,4,7,15,24,21,9,22,18,0
5	43.960	0.776	0	9,2,21,14,1,13,8,3,22,6,0
6	42.710	0.748	0	0,19,21,6,17,12,16,24,13,20,8
7	41.510	0.772	0	2,11,24,17,23,10,13,3,21,0,22
8	40.300	0.801	0	8,20,7,4,19,0,10,22,13,12,1
9	39.070	0.809	0	13,0,17,12,6,4,19,16,11,1,10
10	37.310	0.861	0	6,10,14,21,16,13,0,5,4,19,3
11	35.850	0.841	0	1,5,20,6,15,12,14,17,4,18,0
12	34.380	0.847	6	21,17,6,7,8,16,24,19,23,12,13
13	32.380	0.913	3	8,12,7,3,16,6,5,18,23,21,19
14	30.520	0.915	0	17,8,24,3,14,0,6,5,19,20,13
15	28.600	0.952	0	15,16,0,13,10,8,24,11,3,23,20
16	26.870	0.973	1	4,12,13,5,18,7,21,10,17,16,1
17	24.850	1.000	0	14,9,0,11,7,17,5,22,8,13,24
18	22.650	1.072	0	20,4,13,0,7,14,3,19,2,1,18
19	20.650	1.082	9	22,14,17,24,21,23,11,9,12,19,15
20	18.600	1.131	0	12,9,10,6,0,18,22,24,19,3,1
21	17.220	1.180	0	19,24,0,21,10,18,22,8,14,23,5
22	15.940	1.194	1	9,16,17,12,1,13,4,15,20,10,14
23	14.560	1.256	1	14,1,11,15,19,10,12,21,3,18,20
24	13.500	1.359	0	3,15,10,9,16,7,23,0,6,8,11
25	12.470	1.395	0	21,24,6,15,23,10,20,12,0,14,3
26	11.620	1.498	2	19,7,24,9,22,12,3,15,13,2,16
27	11.100	1.524	5	21,13,9,5,24,20,8,22,10,15,19
28	10.580	1.604	0	0,9,4,14,5,8,3,17,19,10,21
29	10.060	1.705	0	13,0,11,21,3,23,8,7,5,1,16
30	9.660	1.782	2	15,24,5,12,11,14,16,3,23,7,2
31	9.310	1.836	1	15,14,12,19,7,24,13,2,4,1,21
32	9.120	1.990	0	0,22,5,2,14,18,8,13,11,1,21
33	8.890	2.024	0	8,6,3,24,11,23,0,4,1,18,15
34	8.580	2.102	0	10,18,19,3,21,13,16,0,23,1,17
35	8.630	2.213	3	6,8,7,5,9,11,23,19,22,3,16
36	8.600	2.274	1	19,22,5,1,23,4,18,13,6,20,7
37	8.510	2.412	0	24,11,10,13,3,2,0,8,22,19,16
38	8.470	2.503	1	15,18,11,5,2,17,1,21,14,8,22
39	8.620	2.525	0	24,21,13,0,12,1,16,14,18,23,22
40	8.670	2.691	0	13,8,20,12,0,16,24,23,6,7,17
41	8.770	2.755	1	18,5,16,1,21,23,19,20,10,6,24
42	8.820	2.868	0	12,10,6,5,11,22,18,23,14,13,0
43	8.860	3.026	0	20,0,24,5,23,11,13,9,18,15,10
44	8.930	3.079	0	12,2,10,9,22,14,8,0,1,19,16
45	8.960	3.289	0	4,6,21,17,2,12,0,5,8,13,3
46	9.090	3.357	1	13,11,16,15,6,5,22,7,1,2,23
47	9.120	3.554	2	10,4,12,23,13,18,15,3,9,2,16
48	9.240	3.696	0	9,12,13,0,21,16,3,15,6,4,1
49	9.420	3.855	0	20,6,22,17,2,4,11,7,23,0,14
