Epoch	Test Accuracy	Min Index	Selected Indices
0	17.710	1.919	NA	NA
1	21.340	1.983	NA	NA
2	17.700	2.047	NA	NA
3	27.970	2.100	NA	NA
4	30.910	2.174	NA	NA
5	20.380	2.186	NA	NA
6	7.380	2.421	NA	NA
7	3.750	2.968	NA	NA
8	8.850	4.611	NA	NA
9	9.800	nan	NA	NA
10	9.800	nan	NA	NA
11	9.800	nan	NA	NA
12	9.800	nan	NA	NA
13	9.800	nan	NA	NA
14	9.800	nan	NA	NA
15	9.800	nan	NA	NA
16	9.800	nan	NA	NA
17	9.800	nan	NA	NA
18	9.800	nan	NA	NA
19	9.800	nan	NA	NA
20	9.800	nan	NA	NA
21	9.800	nan	NA	NA
22	9.800	nan	NA	NA
23	9.800	nan	NA	NA
24	9.800	nan	NA	NA
25	9.800	nan	NA	NA
26	9.800	nan	NA	NA
27	9.800	nan	NA	NA
28	9.800	nan	NA	NA
29	9.800	nan	NA	NA
30	9.800	nan	NA	NA
31	9.800	nan	NA	NA
32	9.800	nan	NA	NA
33	9.800	nan	NA	NA
34	9.800	nan	NA	NA
35	9.800	nan	NA	NA
36	9.800	nan	NA	NA
37	9.800	nan	NA	NA
38	9.800	nan	NA	NA
39	9.800	nan	NA	NA
40	9.800	nan	NA	NA
41	9.800	nan	NA	NA
42	9.800	nan	NA	NA
43	9.800	nan	NA	NA
44	9.800	nan	NA	NA
45	9.800	nan	NA	NA
46	9.800	nan	NA	NA
47	9.800	nan	NA	NA
48	9.800	nan	NA	NA
49	9.800	nan	NA	NA
