Epoch	Test Accuracy	Min Index	Selected Indices
0	31.250	1.749	NA	NA
1	39.200	1.427	NA	NA
2	44.260	1.243	NA	NA
3	46.040	1.101	NA	NA
4	48.020	1.042	NA	NA
5	48.510	0.973	NA	NA
6	48.450	0.976	NA	NA
7	49.210	1.038	NA	NA
8	48.870	0.998	NA	NA
9	48.760	0.933	NA	NA
10	43.400	0.976	4	4
11	32.240	1.065	14	14
12	17.550	1.243	14	14
13	32.490	1.278	14	24
14	19.050	1.222	5	5
15	29.610	1.225	5	22
16	17.360	1.219	12	12
17	10.050	1.411	23	23
18	8.780	1.684	11	11
19	9.950	1.891	13	13
20	10.000	2.081	16	16
21	10.000	2.305	3	3
22	10.050	2.412	21	17
23	14.130	1.973	21	3
24	10.180	1.566	2	2
25	10.000	1.879	23	23
26	11.750	2.159	23	14
27	22.610	1.876	3	8
28	15.600	1.607	1	1
29	11.310	1.920	21	21
30	7.730	2.199	20	20
31	12.520	2.467	4	6
32	18.750	1.914	7	10
33	11.640	1.823	7	7
34	6.950	2.137	9	9
35	5.370	2.503	24	24
36	11.200	2.535	3	6
37	17.490	2.247	15	5
38	12.460	1.822	4	4
39	9.490	2.166	6	6
40	14.820	2.585	18	11
41	22.040	2.080	14	11
42	26.960	1.750	24	20
43	20.710	1.728	13	13
44	13.090	1.977	6	6
45	19.670	2.311	16	12
46	11.980	2.043	14	14
47	19.380	2.308	4	17
48	12.390	2.134	8	8
49	7.450	2.296	12	12
