Epoch	Test Accuracy	Min Index	Selected Indices
0	28.010	1.351	NA	NA
1	39.580	1.115	NA	NA
2	44.980	0.953	NA	NA
3	48.270	0.809	NA	NA
4	50.610	0.819	NA	NA
5	51.520	0.774	NA	NA
6	52.500	0.721	NA	NA
7	53.270	0.753	NA	NA
8	53.920	0.682	NA	NA
9	54.360	0.652	NA	NA
10	55.060	0.630	NA	NA
11	55.570	0.618	NA	NA
12	56.240	0.641	NA	NA
13	56.790	0.607	NA	NA
14	57.260	0.631	NA	NA
15	57.660	0.547	NA	NA
16	57.850	0.554	NA	NA
17	58.010	0.496	NA	NA
18	58.370	0.520	NA	NA
19	58.820	0.537	NA	NA
20	59.250	0.501	NA	NA
21	59.790	0.532	NA	NA
22	59.870	0.506	NA	NA
23	60.250	0.530	NA	NA
24	60.430	0.497	NA	NA
25	60.850	0.533	NA	NA
26	61.300	0.474	NA	NA
27	61.450	0.536	NA	NA
28	61.780	0.451	NA	NA
29	61.900	0.457	NA	NA
30	62.150	0.478	NA	NA
31	62.200	0.474	NA	NA
32	62.420	0.462	NA	NA
33	62.760	0.458	NA	NA
34	62.990	0.452	NA	NA
35	62.950	0.451	NA	NA
36	63.380	0.399	NA	NA
37	63.460	0.470	NA	NA
38	63.590	0.421	NA	NA
39	63.890	0.414	NA	NA
40	64.170	0.427	NA	NA
41	64.460	0.395	NA	NA
42	64.530	0.422	NA	NA
43	64.720	0.409	NA	NA
44	64.860	0.424	NA	NA
45	65.120	0.393	NA	NA
46	65.300	0.403	NA	NA
47	65.350	0.395	NA	NA
48	65.550	0.373	NA	NA
49	65.670	0.386	NA	NA
