Epoch	Test Accuracy	Min Index	Selected Indices
0	31.250	1.749	NA	NA
1	39.200	1.427	NA	NA
2	44.260	1.243	NA	NA
3	46.040	1.101	NA	NA
4	48.020	1.042	NA	NA
5	48.510	0.973	NA	NA
6	48.450	0.976	NA	NA
7	49.210	1.038	NA	NA
8	48.870	0.998	NA	NA
9	48.760	0.933	NA	NA
10	48.320	0.976	4	4,14,24,5
11	47.700	0.980	11	22,12,23,11
12	47.300	1.068	3	13,16,3,17
13	46.860	0.989	2	3,2,23,14
14	46.310	1.009	1	8,1,21,20
15	46.510	0.918	5	6,10,7,9
16	46.030	0.968	4	24,6,5,4
17	45.370	0.992	6	6,11,20,13
18	44.770	0.977	6	6,12,14,17
19	43.910	1.060	5	8,12,5,20
20	44.890	0.969	2	20,3,5,0
21	44.180	1.053	4	19,12,4,24
22	43.210	1.078	0	18,5,6,0
23	42.430	1.058	7	21,7,14,20
24	43.690	1.045	6	12,4,19,17
25	44.200	1.110	11	24,1,19,7
26	44.660	1.007	8	22,19,24,16
27	43.720	1.049	9	22,9,18,10
28	42.810	1.066	10	16,21,10,17
29	43.370	1.121	5	11,15,12,24
30	43.880	1.060	13	1,3,9,20
31	42.750	1.123	7	13,8,7,22
32	42.080	1.042	13	22,13,24,16
33	41.180	1.074	4	15,18,8,4
34	40.260	1.150	1	1,21,18,10
35	39.240	1.269	1	5,1,24,8
36	38.210	1.154	1	22,3,1,19
37	39.800	1.159	18	7,9,16,19
38	40.580	1.109	3	6,20,23,18
39	39.620	1.140	0	11,10,14,0
40	38.760	1.205	3	22,3,15,6
41	37.610	1.203	3	16,3,23,19
42	36.560	1.143	1	6,1,12,23
43	38.100	1.179	1	3,12,21,22
44	36.970	1.272	4	4,19,21,20
45	36.010	1.296	1	15,17,1,22
46	34.710	1.250	1	14,5,1,15
47	32.820	1.321	1	24,1,6,7
48	31.680	1.270	1	5,3,1,4
49	30.250	1.308	2	6,20,2,3
