Epoch	Test Accuracy	Min Index	Selected Indices
0	21.460	1.849	NA	NA
1	50.250	0.865	NA	NA
2	60.620	0.643	NA	NA
3	76.540	0.513	NA	NA
4	85.120	0.427	NA	NA
5	82.600	0.351	NA	NA
6	79.840	0.375	NA	NA
7	75.370	0.410	NA	NA
8	69.750	0.434	NA	NA
9	63.490	0.472	NA	NA
10	59.060	0.497	NA	NA
11	55.790	0.521	NA	NA
12	52.360	0.561	NA	NA
13	48.320	0.587	NA	NA
14	45.860	0.638	NA	NA
15	40.520	0.684	NA	NA
16	32.140	0.752	NA	NA
17	24.490	0.809	NA	NA
18	18.160	0.889	NA	NA
19	11.830	0.981	NA	NA
20	9.140	1.141	NA	NA
21	6.360	1.257	NA	NA
22	5.700	1.526	NA	NA
23	4.720	1.750	NA	NA
24	4.140	2.077	NA	NA
25	4.080	2.228	NA	NA
26	3.630	2.272	NA	NA
27	3.560	2.284	NA	NA
28	3.450	2.297	NA	NA
29	3.280	2.298	NA	NA
30	6.340	2.297	NA	NA
31	8.050	2.304	NA	NA
32	9.170	2.309	NA	NA
33	9.780	2.312	NA	NA
34	9.820	2.310	NA	NA
35	9.820	2.318	NA	NA
36	9.820	2.320	NA	NA
37	9.820	2.323	NA	NA
38	9.820	2.328	NA	NA
39	9.820	2.337	NA	NA
40	9.820	2.342	NA	NA
41	9.820	2.347	NA	NA
42	9.820	2.349	NA	NA
43	9.820	2.361	NA	NA
44	9.820	2.373	NA	NA
45	9.820	2.381	NA	NA
46	9.820	2.396	NA	NA
47	9.820	2.419	NA	NA
48	9.820	2.439	NA	NA
49	9.820	2.458	NA	NA
