Epoch	Test Accuracy	Min Index	Selected Indices
0	10.690	1.396	NA	NA
1	10.780	2.499	NA	NA
2	9.830	3.225	NA	NA
3	11.780	3.778	NA	NA
4	10.040	4.537	NA	NA
5	10.220	5.121	NA	NA
6	11.480	5.469	NA	NA
7	12.950	5.745	NA	NA
8	14.340	6.210	NA	NA
9	15.660	6.228	NA	NA
10	15.330	6.296	1	4,14,23,5,12,11,13,16,3,17,1
11	15.420	6.505	1	23,14,8,1,20,6,10,7,9,19,2
12	15.060	6.597	4	4,6,11,22,20,13,23,12,14,8,16
13	14.710	6.712	0	12,5,20,22,3,23,0,24,4,19,21
14	14.550	6.873	0	5,0,21,7,14,12,4,17,1,22,11
15	14.230	6.999	6	19,16,22,9,18,10,23,24,11,15,6
16	14.090	7.036	1	24,1,3,9,20,13,8,7,19,15,14
17	13.860	7.064	1	18,8,4,1,24,10,5,21,23,3,11
18	13.620	7.138	0	1,19,7,9,16,23,6,11,10,14,0
19	13.400	7.170	1	22,3,15,6,16,23,21,1,12,19,18
20	13.280	7.606	0	21,22,4,19,20,15,17,1,14,5,0
21	12.920	7.688	1	15,1,6,7,5,3,23,4,22,2,18
22	12.850	7.861	1	8,2,22,12,1,17,13,15,14,10,11
23	12.640	7.840	1	14,16,6,19,18,8,13,4,22,20,1
24	12.320	8.036	0	19,8,12,23,3,6,7,1,22,21,0
25	12.230	8.224	0	8,9,1,0,17,23,7,12,21,2,3
26	12.100	8.506	0	9,20,23,22,0,2,18,11,10,14,21
27	11.830	8.628	0	23,5,2,0,19,11,17,4,24,21,10
28	11.630	9.007	0	23,0,22,10,16,12,5,19,17,14,3
29	11.420	9.155	2	6,5,19,18,17,8,2,14,4,13,9
30	11.390	9.406	1	18,16,3,20,9,4,22,7,1,12,15
31	11.220	9.246	0	14,13,22,11,2,20,1,24,23,0,9
32	11.230	9.811	2	4,15,3,2,9,22,17,24,18,16,21
33	11.100	9.963	3	11,23,18,12,3,15,10,20,19,9,17
34	11.020	9.996	0	23,11,7,1,0,22,16,3,2,4,19
35	10.990	10.366	0	20,1,15,11,16,22,6,19,23,8,0
36	10.920	10.899	0	19,16,23,3,5,1,18,7,14,0,24
37	10.790	11.220	3	7,11,10,3,20,9,21,19,17,14,15
38	10.850	11.667	1	19,6,10,2,5,22,4,23,13,21,1
39	10.840	11.972	0	10,19,6,24,8,4,3,14,0,22,17
40	10.830	12.195	0	16,5,15,19,1,17,14,11,0,2,7
41	10.750	12.408	1	1,13,12,4,6,23,5,20,8,16,3
42	10.620	13.223	0	9,12,23,8,10,0,21,7,16,5,19
43	10.570	13.581	2	21,13,2,11,3,5,15,24,6,7,16
44	10.490	14.252	0	0,14,10,1,8,15,21,2,11,18,23
45	10.440	14.820	5	20,8,18,14,22,19,9,17,12,11,5
46	10.330	15.225	3	5,4,24,10,15,12,13,7,20,3,8
47	10.390	15.673	0	6,5,2,7,22,0,8,15,21,10,24
48	10.340	16.300	1	22,1,19,8,15,11,10,2,16,9,13
49	10.310	17.237	0	19,23,5,11,9,7,12,13,1,0,4
