Epoch	Test Accuracy	Min Index	Selected Indices
0	47.960	1.840	NA	NA
1	63.700	0.557	NA	NA
2	79.880	0.300	NA	NA
3	84.280	0.220	NA	NA
4	85.370	0.182	NA	NA
5	87.290	0.154	NA	NA
6	87.070	0.143	NA	NA
7	87.860	0.159	NA	NA
8	86.400	0.148	NA	NA
9	85.490	0.142	NA	NA
10	75.190	0.144	NA	NA
11	68.990	0.183	NA	NA
12	59.040	0.200	NA	NA
13	46.790	0.272	NA	NA
14	30.680	0.353	NA	NA
15	17.200	0.572	NA	NA
16	9.740	0.832	NA	NA
17	9.740	1.609	NA	NA
18	9.740	3.537	NA	NA
19	9.740	8.200	NA	NA
20	9.740	30.172	NA	NA
21	9.740	1109.114	NA	NA
22	10.100	432304781.280	NA	NA
23	9.800	nan	NA	NA
24	9.800	nan	NA	NA
25	9.800	nan	NA	NA
26	9.800	nan	NA	NA
27	9.800	nan	NA	NA
28	9.800	nan	NA	NA
29	9.800	nan	NA	NA
30	9.800	nan	NA	NA
31	9.800	nan	NA	NA
32	9.800	nan	NA	NA
33	9.800	nan	NA	NA
34	9.800	nan	NA	NA
35	9.800	nan	NA	NA
36	9.800	nan	NA	NA
37	9.800	nan	NA	NA
38	9.800	nan	NA	NA
39	9.800	nan	NA	NA
40	9.800	nan	NA	NA
41	9.800	nan	NA	NA
42	9.800	nan	NA	NA
43	9.800	nan	NA	NA
44	9.800	nan	NA	NA
45	9.800	nan	NA	NA
46	9.800	nan	NA	NA
47	9.800	nan	NA	NA
48	9.800	nan	NA	NA
49	9.800	nan	NA	NA
