Epoch	Test Accuracy	Min Index	Selected Indices
0	34.870	1.381	NA	NA
1	42.820	0.958	NA	NA
2	43.540	0.793	NA	NA
3	45.530	0.832	NA	NA
4	46.320	0.740	NA	NA
5	48.010	0.758	NA	NA
6	48.640	0.633	NA	NA
7	49.120	0.689	NA	NA
8	49.250	0.636	NA	NA
9	49.220	0.635	NA	NA
10	48.270	0.691	1	4,14,23,5,12,11,13,16,3,17,1
11	47.220	0.718	1	23,14,8,1,20,6,10,7,9,19,2
12	46.270	0.737	4	4,6,11,22,20,13,23,12,14,8,16
13	47.240	0.708	14	12,5,20,22,3,23,0,24,4,19,21
14	46.270	0.733	0	5,0,21,7,14,12,4,17,1,22,11
15	45.310	0.668	6	19,16,22,9,18,10,23,24,11,15,6
16	43.950	0.753	1	24,1,3,9,20,13,8,7,19,15,14
17	42.650	0.793	1	18,8,4,1,24,10,5,21,23,3,11
18	41.030	0.741	0	1,19,7,9,16,23,6,11,10,14,0
19	39.460	0.784	1	22,3,15,6,16,23,21,1,12,19,18
20	37.200	0.778	0	21,22,4,19,20,15,17,1,14,5,0
21	34.940	0.879	1	15,1,6,7,5,3,23,4,22,2,18
22	32.420	0.858	1	8,2,22,12,1,17,13,15,14,10,11
23	30.160	0.869	1	14,16,6,19,18,8,13,4,22,20,1
24	27.330	0.875	0	19,8,12,23,3,6,7,1,22,21,0
25	24.720	0.928	0	8,9,1,0,17,23,7,12,21,2,3
26	22.400	0.949	0	9,20,23,22,0,2,18,11,10,14,21
27	19.970	1.027	0	23,5,2,0,19,11,17,4,24,21,10
28	18.150	1.061	0	23,0,22,10,16,12,5,19,17,14,3
29	16.390	1.041	2	6,5,19,18,17,8,2,14,4,13,9
30	14.860	1.047	1	18,16,3,20,9,4,22,7,1,12,15
31	13.540	1.209	0	14,13,22,11,2,20,1,24,23,0,9
32	12.750	1.231	2	4,15,3,2,9,22,17,24,18,16,21
33	12.000	1.281	3	11,23,18,12,3,15,10,20,19,9,17
34	11.400	1.383	0	23,11,7,1,0,22,16,3,2,4,19
35	10.950	1.445	0	20,1,15,11,16,22,6,19,23,8,0
36	10.510	1.528	0	19,16,23,3,5,1,18,7,14,0,24
37	10.210	1.601	3	7,11,10,3,20,9,21,19,17,14,15
38	10.040	1.658	1	19,6,10,2,5,22,4,23,13,21,1
39	9.910	1.795	0	10,19,6,24,8,4,3,14,0,22,17
40	9.840	1.894	0	16,5,15,19,1,17,14,11,0,2,7
41	9.560	1.988	1	1,13,12,4,6,23,5,20,8,16,3
42	9.450	2.107	0	9,12,23,8,10,0,21,7,16,5,19
43	9.500	2.168	2	21,13,2,11,3,5,15,24,6,7,16
44	9.610	2.317	0	0,14,10,1,8,15,21,2,11,18,23
45	9.710	2.392	5	20,8,18,14,22,19,9,17,12,11,5
46	9.890	2.554	3	5,4,24,10,15,12,13,7,20,3,8
47	9.940	2.634	0	6,5,2,7,22,0,8,15,21,10,24
48	9.970	2.760	1	22,1,19,8,15,11,10,2,16,9,13
49	9.980	2.924	0	19,23,5,11,9,7,12,13,1,0,4
