Epoch	Test Accuracy	Min Index	Selected Indices
0	33.730	1.733	NA	NA
1	43.260	1.205	NA	NA
2	46.020	1.022	NA	NA
3	47.080	0.890	NA	NA
4	47.490	0.909	NA	NA
5	48.290	0.896	NA	NA
6	50.460	0.784	NA	NA
7	49.880	0.817	NA	NA
8	50.210	0.734	NA	NA
9	50.450	0.753	NA	NA
10	49.400	0.833	1	4,14,23,5,12,11,13,16,3,17,1
11	48.420	0.822	1	23,14,8,1,20,6,10,7,9,19,2
12	47.180	0.868	4	4,6,11,22,20,13,23,12,14,8,16
13	47.970	0.864	14	12,5,20,22,3,23,0,24,4,19,21
14	46.940	0.846	0	5,0,21,7,14,12,4,17,1,22,11
15	47.560	0.832	5	19,16,22,9,18,10,23,24,11,15,6
16	46.180	0.883	1	24,1,3,9,20,13,8,7,19,15,14
17	44.760	0.917	1	18,8,4,1,24,10,5,21,23,3,11
18	42.970	0.881	0	1,19,7,9,16,23,6,11,10,14,0
19	41.050	0.946	1	22,3,15,6,16,23,21,1,12,19,18
20	39.290	0.880	0	21,22,4,19,20,15,17,1,14,5,0
21	36.750	1.031	1	15,1,6,7,5,3,23,4,22,2,18
22	34.410	1.029	1	8,2,22,12,1,17,13,15,14,10,11
23	31.570	1.068	1	14,16,6,19,18,8,13,4,22,20,1
24	28.700	1.051	0	19,8,12,23,3,6,7,1,22,21,0
25	25.430	1.130	0	8,9,1,0,17,23,7,12,21,2,3
26	22.100	1.191	0	9,20,23,22,0,2,18,11,10,14,21
27	18.940	1.223	0	23,5,2,0,19,11,17,4,24,21,10
28	15.710	1.278	0	23,0,22,10,16,12,5,19,17,14,3
29	13.860	1.288	2	6,5,19,18,17,8,2,14,4,13,9
30	11.770	1.313	1	18,16,3,20,9,4,22,7,1,12,15
31	10.350	1.464	0	14,13,22,11,2,20,1,24,23,0,9
32	9.560	1.524	2	4,15,3,2,9,22,17,24,18,16,21
33	8.730	1.625	3	11,23,18,12,3,15,10,20,19,9,17
34	8.270	1.711	0	23,11,7,1,0,22,16,3,2,4,19
35	7.980	1.800	0	20,1,15,11,16,22,6,19,23,8,0
36	8.070	1.939	0	19,16,23,3,5,1,18,7,14,0,24
37	8.320	1.950	3	7,11,10,3,20,9,21,19,17,14,15
38	8.700	2.061	1	19,6,10,2,5,22,4,23,13,21,1
39	9.100	2.225	0	10,19,6,24,8,4,3,14,0,22,17
40	9.530	2.345	0	16,5,15,19,1,17,14,11,0,2,7
41	9.720	2.438	1	1,13,12,4,6,23,5,20,8,16,3
42	9.820	2.512	0	9,12,23,8,10,0,21,7,16,5,19
43	9.890	2.637	2	21,13,2,11,3,5,15,24,6,7,16
44	9.950	2.787	0	0,14,10,1,8,15,21,2,11,18,23
45	9.990	2.949	5	20,8,18,14,22,19,9,17,12,11,5
46	10.000	3.010	3	5,4,24,10,15,12,13,7,20,3,8
47	10.000	3.165	0	6,5,2,7,22,0,8,15,21,10,24
48	10.000	3.360	1	22,1,19,8,15,11,10,2,16,9,13
49	10.000	3.559	0	19,23,5,11,9,7,12,13,1,0,4
