Epoch	Test Accuracy	Min Index	Selected Indices
0	33.490	1.857	NA	NA
1	38.170	1.209	NA	NA
2	38.490	1.241	NA	NA
3	38.450	1.247	NA	NA
4	38.440	1.264	NA	NA
5	38.440	1.273	NA	NA
6	38.440	1.276	NA	NA
7	38.390	1.285	NA	NA
8	38.370	1.280	NA	NA
9	38.390	1.284	NA	NA
10	37.050	1.291	1	4,14,23,5,12,11,13,16,3,17,1
11	35.550	1.331	1	4,14,23,5,12,11,13,16,3,17,1
12	33.580	1.371	1	4,14,23,5,12,11,13,16,3,17,1
13	31.880	1.412	1	4,14,23,5,12,11,13,16,3,17,1
14	29.840	1.466	1	4,14,23,5,12,11,13,16,3,17,1
15	27.460	1.518	1	4,14,23,5,12,11,13,16,3,17,1
16	24.610	1.544	1	4,14,23,5,12,11,13,16,3,17,1
17	21.570	1.606	1	4,14,23,5,12,11,13,16,3,17,1
18	18.930	1.646	1	4,14,23,5,12,11,13,16,3,17,1
19	15.790	1.684	1	4,14,23,5,12,11,13,16,3,17,1
20	13.410	1.722	1	4,14,23,5,12,11,13,16,3,17,1
21	11.130	1.775	1	4,14,23,5,12,11,13,16,3,17,1
22	9.930	1.841	1	4,14,23,5,12,11,13,16,3,17,1
23	8.730	1.892	1	4,14,23,5,12,11,13,16,3,17,1
24	7.990	1.944	1	4,14,23,5,12,11,13,16,3,17,1
25	7.560	1.971	1	4,14,23,5,12,11,13,16,3,17,1
26	7.320	2.013	1	4,14,23,5,12,11,13,16,3,17,1
27	7.120	2.071	1	4,14,23,5,12,11,13,16,3,17,1
28	6.930	2.117	1	4,14,23,5,12,11,13,16,3,17,1
29	6.790	2.146	1	4,14,23,5,12,11,13,16,3,17,1
30	6.700	2.185	1	4,14,23,5,12,11,13,16,3,17,1
31	6.540	2.228	1	4,14,23,5,12,11,13,16,3,17,1
32	6.430	2.267	1	4,14,23,5,12,11,13,16,3,17,1
33	6.370	2.320	1	4,14,23,5,12,11,13,16,3,17,1
34	6.280	2.355	1	4,14,23,5,12,11,13,16,3,17,1
35	6.220	2.415	1	4,14,23,5,12,11,13,16,3,17,1
36	6.190	2.460	1	4,14,23,5,12,11,13,16,3,17,1
37	6.070	2.503	1	4,14,23,5,12,11,13,16,3,17,1
38	6.030	2.539	1	4,14,23,5,12,11,13,16,3,17,1
39	6.060	2.631	1	4,14,23,5,12,11,13,16,3,17,1
40	6.060	2.657	1	4,14,23,5,12,11,13,16,3,17,1
41	5.990	2.741	1	4,14,23,5,12,11,13,16,3,17,1
42	6.140	2.807	1	4,14,23,5,12,11,13,16,3,17,1
43	6.140	2.868	1	4,14,23,5,12,11,13,16,3,17,1
44	6.150	2.944	1	4,14,23,5,12,11,13,16,3,17,1
45	6.060	3.013	1	4,14,23,5,12,11,13,16,3,17,1
46	5.980	3.075	1	4,14,23,5,12,11,13,16,3,17,1
47	5.990	3.176	1	4,14,23,5,12,11,13,16,3,17,1
48	5.880	3.280	1	4,14,23,5,12,11,13,16,3,17,1
49	5.900	3.394	1	4,14,23,5,12,11,13,16,3,17,1
