Epoch	Test Accuracy	Min Index	Selected Indices
0	35.560	1.792	NA	NA
1	43.260	1.225	NA	NA
2	43.850	1.022	NA	NA
3	46.260	1.063	NA	NA
4	46.350	0.904	NA	NA
5	46.660	0.968	NA	NA
6	48.650	0.863	NA	NA
7	48.840	0.797	NA	NA
8	49.020	0.848	NA	NA
9	48.610	0.868	NA	NA
10	47.420	0.870	0	22,21,17,19,0,12,9,10,23,2,24
11	45.960	0.932	0	19,8,23,1,2,5,0,3,14,13,6
12	44.370	0.826	0	14,4,5,18,0,8,9,10,3,24,20
13	42.730	0.929	0	5,11,22,17,13,19,4,0,3,2,12
14	41.190	0.936	0	8,6,11,5,7,12,2,0,10,3,20
15	38.990	0.989	0	20,0,17,23,24,6,2,4,22,5,21
16	36.210	1.054	5	17,13,21,8,22,12,14,6,5,24,20
17	33.710	1.028	1	8,6,22,18,24,4,3,5,1,10,17
18	30.780	1.066	1	2,3,23,16,1,24,6,9,21,19,7
19	27.810	1.059	0	5,1,7,23,9,0,21,10,18,20,4
20	24.850	1.067	0	6,0,15,20,7,16,10,19,22,11,2
21	21.860	1.129	1	19,14,6,12,21,1,2,9,7,10,3
22	19.110	1.128	1	14,23,1,12,6,20,17,22,7,4,19
23	16.970	1.263	0	10,13,18,17,15,0,6,21,23,24,14
24	15.400	1.264	2	19,24,17,16,22,20,11,23,12,13,2
25	13.900	1.365	0	15,16,4,20,23,22,8,7,19,24,0
26	12.890	1.387	0	12,19,22,9,16,5,0,1,4,7,20
27	11.970	1.495	0	4,18,20,23,9,2,0,10,5,19,13
28	11.180	1.567	1	24,22,7,2,14,16,12,1,20,19,15
29	10.460	1.619	2	3,18,19,15,8,13,2,24,5,7,12
30	10.110	1.703	1	7,16,3,1,8,10,24,11,2,5,6
31	9.520	1.820	0	15,14,8,23,24,18,10,4,0,21,13
32	9.000	1.890	0	6,16,3,24,0,20,11,12,5,17,14
33	8.760	2.014	1	16,10,11,21,24,23,8,19,9,1,7
34	8.350	2.058	0	3,0,9,2,6,4,7,10,18,16,20
35	8.290	2.161	2	12,19,6,3,5,7,15,13,2,8,22
36	8.220	2.263	0	8,0,4,1,18,13,15,21,6,12,14
37	8.150	2.285	2	10,3,19,11,8,20,9,2,23,22,14
38	7.990	2.434	0	12,21,7,18,20,0,22,1,24,19,14
39	7.950	2.461	0	0,6,15,23,5,17,10,21,3,24,2
40	7.630	2.577	4	9,7,11,19,6,24,8,23,4,15,10
41	7.560	2.710	4	4,14,21,16,15,5,19,17,7,13,12
42	7.460	2.715	0	12,20,15,7,3,2,0,24,22,19,5
43	7.350	2.780	1	20,21,10,1,22,5,13,24,18,17,12
44	7.150	2.969	1	6,22,1,12,2,21,10,20,4,7,3
45	7.140	3.052	0	22,0,21,1,20,15,12,17,8,13,6
46	6.980	3.073	0	19,12,17,9,10,15,0,24,14,8,21
47	6.920	3.153	0	24,15,17,18,8,0,3,11,21,9,10
48	6.830	3.358	1	1,24,2,10,7,5,3,15,19,13,12
49	6.850	3.386	0	19,10,0,11,20,2,16,3,14,7,15
