Epoch	Test Accuracy	Min Index	Selected Indices
0	40.570	1.791	NA	NA
1	45.360	1.324	NA	NA
2	47.850	1.160	NA	NA
3	49.020	1.098	NA	NA
4	49.920	1.051	NA	NA
5	50.490	0.997	NA	NA
6	51.000	0.991	NA	NA
7	51.740	0.947	NA	NA
8	52.160	0.962	NA	NA
9	52.500	0.936	NA	NA
10	52.760	0.906	NA	NA
11	53.130	0.914	NA	NA
12	53.290	0.889	NA	NA
13	53.670	0.884	NA	NA
14	53.790	0.877	NA	NA
15	53.960	0.869	NA	NA
16	54.180	0.848	NA	NA
17	54.270	0.830	NA	NA
18	54.370	0.869	NA	NA
19	54.500	0.858	NA	NA
20	54.570	0.834	NA	NA
21	54.600	0.830	NA	NA
22	54.680	0.841	NA	NA
23	54.780	0.826	NA	NA
24	54.840	0.817	NA	NA
25	55.030	0.818	NA	NA
26	55.150	0.810	NA	NA
27	55.270	0.794	NA	NA
28	55.300	0.798	NA	NA
29	55.310	0.801	NA	NA
30	55.460	0.790	NA	NA
31	55.540	0.791	NA	NA
32	55.570	0.799	NA	NA
33	55.650	0.788	NA	NA
34	55.720	0.791	NA	NA
35	55.800	0.788	NA	NA
36	55.800	0.779	NA	NA
37	55.910	0.788	NA	NA
38	55.970	0.782	NA	NA
39	56.030	0.767	NA	NA
40	56.030	0.772	NA	NA
41	56.120	0.780	NA	NA
42	56.210	0.791	NA	NA
43	56.340	0.762	NA	NA
44	56.350	0.763	NA	NA
45	56.390	0.772	NA	NA
46	56.430	0.750	NA	NA
47	56.480	0.756	NA	NA
48	56.500	0.751	NA	NA
49	56.620	0.737	NA	NA
