Epoch	Test Accuracy	Min Index	Selected Indices
0	9.730	1.766	NA	NA
1	9.740	2.852	NA	NA
2	11.270	3.793	NA	NA
3	11.030	4.182	NA	NA
4	13.890	4.342	NA	NA
5	13.110	4.813	NA	NA
6	15.880	5.254	NA	NA
7	15.080	5.625	NA	NA
8	16.900	5.663	NA	NA
9	17.820	6.147	NA	NA
10	17.420	6.362	1	4,14,23,5,12,11,13,16,3,17,1
11	17.050	6.456	1	23,14,8,1,20,6,10,7,9,19,2
12	16.700	6.465	4	4,6,11,22,20,13,23,12,14,8,16
13	16.270	6.586	0	12,5,20,22,3,23,0,24,4,19,21
14	15.930	6.637	0	5,0,21,7,14,12,4,17,1,22,11
15	15.580	6.856	6	19,16,22,9,18,10,23,24,11,15,6
16	15.290	6.837	1	24,1,3,9,20,13,8,7,19,15,14
17	15.090	7.025	1	18,8,4,1,24,10,5,21,23,3,11
18	14.620	7.084	0	1,19,7,9,16,23,6,11,10,14,0
19	14.350	7.175	1	22,3,15,6,16,23,21,1,12,19,18
20	14.250	7.267	0	21,22,4,19,20,15,17,1,14,5,0
21	13.880	7.526	1	15,1,6,7,5,3,23,4,22,2,18
22	13.450	7.572	1	8,2,22,12,1,17,13,15,14,10,11
23	13.120	7.664	1	14,16,6,19,18,8,13,4,22,20,1
24	12.860	7.915	0	19,8,12,23,3,6,7,1,22,21,0
25	12.590	8.047	0	8,9,1,0,17,23,7,12,21,2,3
26	12.510	8.226	0	9,20,23,22,0,2,18,11,10,14,21
27	12.370	8.263	0	23,5,2,0,19,11,17,4,24,21,10
28	12.210	8.393	0	23,0,22,10,16,12,5,19,17,14,3
29	11.920	8.714	2	6,5,19,18,17,8,2,14,4,13,9
30	11.850	8.821	1	18,16,3,20,9,4,22,7,1,12,15
31	11.770	9.033	0	14,13,22,11,2,20,1,24,23,0,9
32	11.390	9.291	2	4,15,3,2,9,22,17,24,18,16,21
33	11.310	9.417	3	11,23,18,12,3,15,10,20,19,9,17
34	11.170	9.657	0	23,11,7,1,0,22,16,3,2,4,19
35	10.910	9.753	0	20,1,15,11,16,22,6,19,23,8,0
36	10.750	10.295	0	19,16,23,3,5,1,18,7,14,0,24
37	10.680	10.433	3	7,11,10,3,20,9,21,19,17,14,15
38	10.560	10.847	1	19,6,10,2,5,22,4,23,13,21,1
39	10.410	11.116	0	10,19,6,24,8,4,3,14,0,22,17
40	10.260	11.465	0	16,5,15,19,1,17,14,11,0,2,7
41	10.150	11.674	1	1,13,12,4,6,23,5,20,8,16,3
42	10.130	12.030	0	9,12,23,8,10,0,21,7,16,5,19
43	10.170	12.393	2	21,13,2,11,3,5,15,24,6,7,16
44	10.100	12.802	0	0,14,10,1,8,15,21,2,11,18,23
45	10.020	13.347	5	20,8,18,14,22,19,9,17,12,11,5
46	9.980	13.301	3	5,4,24,10,15,12,13,7,20,3,8
47	9.870	13.851	0	6,5,2,7,22,0,8,15,21,10,24
48	9.900	14.563	1	22,1,19,8,15,11,10,2,16,9,13
49	9.950	14.962	0	19,23,5,11,9,7,12,13,1,0,4
