Epoch	Test Accuracy	Min Index	Selected Indices
0	31.250	1.749	NA	NA
1	40.540	1.385	NA	NA
2	45.980	1.203	NA	NA
3	47.030	1.034	NA	NA
4	48.820	1.051	NA	NA
5	49.000	0.966	NA	NA
6	48.940	0.953	NA	NA
7	48.780	1.006	NA	NA
8	50.940	0.978	NA	NA
9	51.710	0.868	NA	NA
10	51.150	0.835	1	4,14,23,5,12,11,13,16,3,17,1
11	50.900	0.869	1	23,14,8,1,20,6,10,7,9,19,2
12	50.480	0.824	4	4,6,11,22,20,13,23,12,14,8,16
13	49.980	0.855	0	12,5,20,22,3,23,0,24,4,19,21
14	49.410	0.947	0	5,0,21,7,14,12,4,17,1,22,11
15	49.020	0.808	6	19,16,22,9,18,10,23,24,11,15,6
16	48.430	0.895	1	24,1,3,9,20,13,8,7,19,15,14
17	47.920	0.906	1	18,8,4,1,24,10,5,21,23,3,11
18	47.290	0.855	0	1,19,7,9,16,23,6,11,10,14,0
19	46.800	0.905	1	22,3,15,6,16,23,21,1,12,19,18
20	46.180	0.912	0	21,22,4,19,20,15,17,1,14,5,0
21	45.500	0.968	1	15,1,6,7,5,3,23,4,22,2,18
22	44.880	0.978	1	8,2,22,12,1,17,13,15,14,10,11
23	44.140	0.908	1	14,16,6,19,18,8,13,4,22,20,1
24	43.490	0.940	0	19,8,12,23,3,6,7,1,22,21,0
25	42.760	0.954	0	8,9,1,0,17,23,7,12,21,2,3
26	41.920	1.019	0	9,20,23,22,0,2,18,11,10,14,21
27	40.930	1.019	0	23,5,2,0,19,11,17,4,24,21,10
28	39.850	0.975	0	23,0,22,10,16,12,5,19,17,14,3
29	38.970	1.035	2	6,5,19,18,17,8,2,14,4,13,9
30	38.170	0.988	1	18,16,3,20,9,4,22,7,1,12,15
31	36.900	1.061	0	14,13,22,11,2,20,1,24,23,0,9
32	35.920	1.057	2	4,15,3,2,9,22,17,24,18,16,21
33	34.780	1.029	3	11,23,18,12,3,15,10,20,19,9,17
34	33.690	1.113	0	23,11,7,1,0,22,16,3,2,4,19
35	32.590	1.066	0	20,1,15,11,16,22,6,19,23,8,0
36	31.310	1.101	0	19,16,23,3,5,1,18,7,14,0,24
37	30.410	1.100	3	7,11,10,3,20,9,21,19,17,14,15
38	29.290	1.154	1	19,6,10,2,5,22,4,23,13,21,1
39	27.860	1.163	0	10,19,6,24,8,4,3,14,0,22,17
40	26.710	1.138	0	16,5,15,19,1,17,14,11,0,2,7
41	25.250	1.141	1	1,13,12,4,6,23,5,20,8,16,3
42	24.030	1.250	0	9,12,23,8,10,0,21,7,16,5,19
43	22.920	1.244	2	21,13,2,11,3,5,15,24,6,7,16
44	21.700	1.294	0	0,14,10,1,8,15,21,2,11,18,23
45	20.460	1.210	5	20,8,18,14,22,19,9,17,12,11,5
46	19.460	1.306	3	5,4,24,10,15,12,13,7,20,3,8
47	18.340	1.326	0	6,5,2,7,22,0,8,15,21,10,24
48	17.280	1.407	1	22,1,19,8,15,11,10,2,16,9,13
49	16.370	1.391	0	19,23,5,11,9,7,12,13,1,0,4
