Epoch	Test Accuracy	Min Index	Selected Indices
0	25.770	1.766	NA	NA
1	40.620	1.373	NA	NA
2	46.230	1.192	NA	NA
3	46.480	0.996	NA	NA
4	48.260	1.012	NA	NA
5	48.460	1.005	NA	NA
6	49.150	0.854	NA	NA
7	50.340	0.875	NA	NA
8	50.320	0.901	NA	NA
9	50.080	0.887	NA	NA
10	51.480	0.954	NA	NA
11	51.360	0.871	NA	NA
12	51.730	0.922	NA	NA
13	52.440	0.848	NA	NA
14	51.990	0.809	NA	NA
15	52.440	0.781	NA	NA
16	52.260	0.794	NA	NA
17	52.600	0.814	NA	NA
18	52.690	0.788	NA	NA
19	52.670	0.781	NA	NA
20	52.370	0.800	NA	NA
21	52.030	0.810	NA	NA
22	52.350	0.791	NA	NA
23	53.650	0.868	NA	NA
24	54.410	0.770	NA	NA
25	54.160	0.799	NA	NA
26	54.300	0.802	NA	NA
27	54.720	0.696	NA	NA
28	54.700	0.681	NA	NA
29	54.570	0.726	NA	NA
30	54.440	0.693	NA	NA
31	53.990	0.742	NA	NA
32	55.100	0.744	NA	NA
33	55.390	0.732	NA	NA
34	55.110	0.698	NA	NA
35	55.220	0.740	NA	NA
36	55.190	0.736	NA	NA
37	54.910	0.736	NA	NA
38	55.420	0.780	NA	NA
39	55.600	0.688	NA	NA
40	55.180	0.705	NA	NA
41	55.020	0.678	NA	NA
42	55.900	0.699	NA	NA
43	55.440	0.756	NA	NA
44	56.510	0.721	NA	NA
45	56.230	0.720	NA	NA
46	56.490	0.719	NA	NA
47	56.760	0.710	NA	NA
48	56.680	0.718	NA	NA
49	56.670	0.722	NA	NA
